id	type
TCGA-44-2666-01	2
TCGA-38-4632-01	2
TCGA-86-8076-01	2
TCGA-05-4420-01	2
TCGA-55-8512-01	2
TCGA-73-A9RS-01	2
TCGA-35-4123-01	2
TCGA-75-5122-01	2
TCGA-75-5125-01	2
TCGA-75-5146-01	2
TCGA-75-6206-01	2
TCGA-75-6207-01	2
TCGA-75-7025-01	2
TCGA-75-7027-01	2
TCGA-75-7030-01	2
TCGA-80-5611-01	2
TCGA-55-8204-01	2
TCGA-NJ-A4YI-01	2
TCGA-50-5935-01	2
TCGA-44-6777-01	2
TCGA-50-6673-01	2
TCGA-67-3773-01	2
TCGA-97-7554-01	2
TCGA-67-3772-01	2
TCGA-49-6743-01	2
TCGA-55-A491-01	2
TCGA-73-7499-01	2
TCGA-91-6835-01	2
TCGA-55-A57B-01	2
TCGA-62-8395-01	2
TCGA-73-4658-01	2
TCGA-05-4250-01	2
TCGA-49-4514-01	2
TCGA-50-5055-01	2
TCGA-50-6594-01	2
TCGA-50-6597-01	2
TCGA-55-6982-01	2
TCGA-44-A47A-01	2
TCGA-86-A456-01	2
TCGA-97-8547-01	2
TCGA-44-3398-01	2
TCGA-55-8513-01	2
TCGA-64-1677-01	2
TCGA-67-3771-01	2
TCGA-78-8655-01	2
TCGA-J2-A4AE-01	2
TCGA-53-7626-01	2
TCGA-55-7283-01	2
TCGA-55-7724-01	2
TCGA-55-8205-01	2
TCGA-91-8499-01	2
TCGA-93-7347-01	2
TCGA-97-7546-01	2
TCGA-97-7938-01	2
TCGA-MP-A4T6-01	2
TCGA-MP-A5C7-01	2
TCGA-NJ-A55A-01	2
TCGA-38-4630-01	2
TCGA-50-5931-01	2
TCGA-55-8621-01	2
TCGA-78-7539-01	2
TCGA-91-6849-01	2
TCGA-91-8497-01	2
TCGA-93-7348-01	2
TCGA-97-8172-01	2
TCGA-MP-A4T7-01	2
TCGA-MP-A4TA-01	2
TCGA-05-4405-01	2
TCGA-44-2657-01	2
TCGA-44-3396-01	2
TCGA-49-4488-01	2
TCGA-50-6595-01	2
TCGA-55-1595-01	2
TCGA-55-6986-01	2
TCGA-95-A4VK-01	2
TCGA-99-7458-01	2
TCGA-99-8033-01	2
TCGA-O1-A52J-01	2
TCGA-44-A479-01	2
TCGA-44-A47G-01	2
TCGA-49-4507-01	2
TCGA-55-7995-01	2
TCGA-55-8208-01	2
TCGA-55-8511-01	2
TCGA-62-8402-01	2
TCGA-67-3774-01	2
TCGA-67-6217-01	2
TCGA-86-6851-01	2
TCGA-38-4631-01	2
TCGA-38-7271-01	2
TCGA-44-6775-01	2
TCGA-49-4487-01	2
TCGA-50-5044-01	2
TCGA-50-6590-01	2
TCGA-55-7573-01	2
TCGA-55-7726-01	2
TCGA-55-8619-01	2
TCGA-86-8671-01	2
TCGA-97-7941-01	2
TCGA-99-8025-01	2
TCGA-44-3919-01	2
TCGA-50-6592-01	2
TCGA-55-6984-01	2
TCGA-55-7914-01	2
TCGA-62-A46U-01	2
TCGA-69-7979-01	2
TCGA-78-7146-01	2
TCGA-05-4425-01	2
TCGA-38-6178-01	2
TCGA-55-7281-01	2
TCGA-55-7911-01	2
TCGA-55-8514-01	2
TCGA-55-A492-01	2
TCGA-62-8397-01	2
TCGA-62-A46Y-01	2
TCGA-64-1678-01	2
TCGA-67-3770-01	2
TCGA-69-7980-01	2
TCGA-99-AA5R-01	2
TCGA-MP-A4TH-01	2
TCGA-05-5715-01	2
TCGA-44-2661-01	2
TCGA-44-7661-01	2
TCGA-49-4512-01	2
TCGA-50-5944-01	2
TCGA-55-8203-01	2
TCGA-73-4670-01	2
TCGA-78-7161-01	2
TCGA-86-7953-01	2
TCGA-97-A4M3-01	2
TCGA-J2-8194-01	2
TCGA-NJ-A4YQ-01	2
TCGA-49-4506-01	2
TCGA-49-6761-01	2
TCGA-55-7725-01	2
TCGA-86-7954-01	2
TCGA-MP-A4T4-01	2
TCGA-S2-AA1A-01	2
TCGA-05-4434-01	2
TCGA-44-6147-01	2
TCGA-44-A4SU-01	2
TCGA-49-4501-01	2
TCGA-50-5942-01	2
TCGA-55-6970-01	2
TCGA-55-8096-01	2
TCGA-78-7147-01	2
TCGA-97-7547-01	2
TCGA-38-4625-01	2
TCGA-73-4668-01	2
TCGA-78-7540-01	2
TCGA-86-8075-01	2
TCGA-95-A4VP-01	2
TCGA-J2-A4AG-01	2
TCGA-05-4427-01	2
TCGA-38-4628-01	2
TCGA-44-2655-01	2
TCGA-44-2659-01	2
TCGA-62-8394-01	2
TCGA-62-A46O-01	2
TCGA-73-4662-01	2
TCGA-78-7153-01	2
TCGA-91-6830-01	2
TCGA-J2-8192-01	2
TCGA-38-4627-01	2
TCGA-49-6744-01	2
TCGA-55-7574-01	2
TCGA-55-7728-01	2
TCGA-L9-A8F4-01	2
TCGA-49-AAQV-01	2
TCGA-50-6591-01	2
TCGA-50-8457-01	2
TCGA-55-A48X-01	2
TCGA-86-8278-01	2
TCGA-86-A4P7-01	2
TCGA-91-8496-01	2
TCGA-95-7043-01	2
TCGA-L9-A443-01	2
TCGA-44-6145-01	2
TCGA-55-8506-01	2
TCGA-78-7143-01	2
TCGA-86-8074-01	2
TCGA-91-6847-01	2
TCGA-95-A4VN-01	2
TCGA-MP-A4TJ-01	2
TCGA-44-5645-01	2
TCGA-49-4505-01	2
TCGA-55-7913-01	2
TCGA-55-8299-01	2
TCGA-55-A494-01	2
TCGA-64-1681-01	2
TCGA-86-7714-01	2
TCGA-86-8668-01	2
TCGA-J2-A4AD-01	2
TCGA-44-3918-01	2
TCGA-44-4112-01	2
TCGA-44-6776-01	2
TCGA-55-6543-01	2
TCGA-55-8097-01	2
TCGA-55-8508-01	2
TCGA-55-A48Z-01	2
TCGA-69-A59K-01	2
TCGA-71-8520-01	2
TCGA-78-7159-01	2
TCGA-97-A4M0-01	2
TCGA-L9-A444-01	2
